,date
182,1999-07-14 09:55:00
183,1999-07-14 12:41:00
184,1999-07-14 13:43:00
185,1999-07-14 14:14:00
186,1999-07-14 17:44:00
187,1999-07-15 09:01:00
188,1999-07-15 11:27:00
189,1999-07-15 14:48:00
190,1999-07-15 16:05:00
191,1999-07-15 17:06:00
192,1999-07-16 14:22:00
193,1999-07-19 14:50:00
194,1999-07-20 08:29:00
195,1999-07-20 10:21:00
196,1999-07-20 13:16:00
197,1999-07-20 17:06:00
198,1999-07-22 11:24:00
199,1999-07-22 11:28:00
200,1999-07-22 17:06:00
201,1999-07-23 09:44:00
202,1999-07-23 11:56:00
203,1999-07-23 12:23:00
204,1999-07-23 12:25:00
205,1999-07-23 14:13:00
206,1999-07-23 15:55:00
207,1999-07-26 13:40:00
208,1999-07-26 15:36:00
209,1999-07-26 17:37:00
210,1999-07-26 18:57:00
211,1999-07-27 15:24:00
212,1999-07-28 08:52:00
213,1999-07-28 09:28:00
214,1999-07-28 09:28:00
215,1999-07-28 11:11:00
216,1999-07-29 12:49:00
217,1999-07-29 17:41:00
218,1999-07-30 08:40:00
219,1999-07-30 10:20:00
220,1999-07-30 15:15:00
221,1999-08-02 09:23:00
222,1999-08-02 09:41:00
223,1999-08-02 10:24:00
224,1999-08-02 10:59:00
225,1999-08-02 11:13:00
226,1999-08-02 14:20:00
227,1999-08-02 17:51:00
228,1999-08-03 11:31:00
229,1999-08-03 13:33:00
230,1999-08-03 18:22:00
231,1999-08-04 09:10:00
232,1999-08-04 14:25:00
233,1999-08-04 15:05:00
234,1999-08-04 20:00:00
235,1999-08-04 20:01:00
236,1999-08-04 20:01:00
237,1999-08-05 13:01:00
238,1999-08-05 17:34:00
239,1999-08-05 19:14:00
240,1999-08-06 08:55:00
241,1999-08-06 08:56:00
242,1999-08-06 09:11:00
243,1999-08-06 11:26:00
244,1999-08-06 11:26:00
245,1999-08-06 16:10:00
246,1999-08-09 09:22:00
247,1999-08-09 15:22:00
248,1999-08-10 05:37:00
249,1999-08-10 11:06:00
250,1999-08-10 11:28:00
251,1999-08-10 15:43:00
252,1999-08-11 09:43:00
253,1999-08-11 11:51:00
254,1999-08-11 16:00:00
255,1999-08-12 08:42:00
256,1999-08-12 09:38:00
257,1999-08-12 13:09:00
258,1999-08-12 17:20:00
259,1999-08-13 10:11:00
260,1999-08-13 11:40:00
261,1999-08-13 14:32:00
262,1999-08-13 15:56:00
263,1999-08-15 13:29:00
264,1999-08-16 09:17:00
265,1999-08-16 11:07:00
266,1999-08-16 11:07:00
267,1999-08-16 12:56:00
268,1999-08-16 15:33:00
269,1999-08-17 13:29:00
270,1999-08-17 14:32:00
271,1999-08-17 15:32:00
272,1999-08-17 17:02:00
273,1999-08-17 17:32:00
274,1999-08-19 13:10:00
275,1999-08-19 13:53:00
276,1999-08-19 13:56:00
277,1999-08-19 14:35:00
278,1999-08-19 16:44:00
279,1999-08-20 16:42:00
280,1999-08-23 09:29:00
281,1999-08-23 10:02:00
282,1999-08-23 10:43:00
283,1999-08-23 16:38:00
284,1999-08-24 14:26:00
285,1999-08-24 14:28:00
286,1999-08-24 17:46:00
287,1999-08-24 18:50:00
288,1999-08-25 09:45:00
289,1999-08-25 10:50:00
290,1999-08-25 16:21:00
291,1999-08-25 17:31:00
292,1999-08-25 18:03:00
293,1999-08-25 18:46:00
294,1999-08-26 08:46:00
295,1999-08-26 09:09:00
296,1999-08-26 19:24:00
297,1999-08-27 14:57:00
298,1999-08-27 14:59:00
299,1999-08-30 10:16:00
300,1999-08-30 10:31:00
301,1999-08-30 13:46:00
302,1999-08-31 09:37:00
303,1999-08-31 10:30:00
304,1999-08-31 10:45:00
305,1999-08-31 11:12:00
306,1999-08-31 11:50:00
307,1999-08-31 18:10:00
308,1999-09-01 07:56:00
309,1999-09-01 08:08:00
310,1999-09-01 15:49:00
311,1999-09-01 15:55:00
312,1999-09-01 17:03:00
313,1999-09-01 17:11:00
314,1999-09-01 18:58:00
315,1999-09-01 19:01:00
316,1999-09-02 08:45:00
317,1999-09-02 08:52:00
318,1999-09-02 09:39:00
319,1999-09-02 10:10:00
320,1999-09-02 10:11:00
321,1999-09-02 10:20:00
322,1999-09-02 10:27:00
323,1999-09-02 13:32:00
324,1999-09-02 15:01:00
325,1999-09-03 07:45:00
326,1999-09-03 13:21:00
327,1999-09-03 13:32:00
328,1999-09-03 13:50:00
329,1999-09-03 16:03:00
330,1999-09-03 16:05:00
331,1999-09-03 17:14:00
332,1999-09-07 08:22:00
333,1999-09-07 08:25:00
334,1999-09-07 09:04:00
335,1999-09-07 09:09:00
336,1999-09-07 09:14:00
337,1999-09-07 09:35:00
338,1999-09-07 13:05:00
339,1999-09-07 13:10:00
340,1999-09-08 07:44:00
341,1999-09-08 08:27:00
342,1999-09-08 09:24:00
343,1999-09-08 11:55:00
344,1999-09-08 12:31:00
345,1999-09-08 12:35:00
346,1999-09-08 12:43:00
347,1999-09-08 12:56:00
348,1999-09-08 14:37:00
349,1999-09-08 15:56:00
350,1999-09-08 19:59:00
351,1999-09-09 09:00:00
352,1999-09-09 09:27:00
353,1999-09-09 09:35:00
354,1999-09-09 15:34:00
355,1999-09-09 16:48:00
356,1999-09-09 17:16:00
357,1999-09-10 10:10:00
358,1999-09-10 10:23:00
359,1999-09-10 10:26:00
360,1999-09-10 13:06:00
361,1999-09-10 13:09:00
362,1999-09-10 13:21:00
363,1999-09-10 14:27:00
364,1999-09-13 09:19:00
365,1999-09-13 09:21:00
366,1999-09-13 15:46:00
367,1999-09-13 17:06:00
368,1999-09-14 09:24:00
369,1999-09-14 11:44:00
370,1999-09-14 14:47:00
371,1999-09-14 14:55:00
372,1999-09-14 16:03:00
373,1999-09-14 16:06:00
374,1999-09-14 16:56:00
375,1999-09-14 17:28:00
376,1999-09-14 18:59:00
377,1999-09-15 08:43:00
378,1999-09-15 14:07:00
379,1999-09-15 14:11:00
380,1999-09-16 08:55:00
381,1999-09-16 08:59:00
382,1999-09-16 10:12:00
383,1999-09-16 11:48:00
384,1999-09-16 12:59:00
385,1999-09-17 11:23:00
386,1999-09-17 11:39:00
387,1999-09-17 12:22:00
388,1999-09-17 17:32:00
389,1999-09-17 18:13:00
390,1999-09-20 08:44:00
391,1999-09-20 09:59:00
392,1999-09-20 11:16:00
393,1999-09-20 11:56:00
394,1999-09-20 13:50:00
395,1999-09-20 14:58:00
396,1999-09-21 15:42:00
397,1999-09-21 19:06:00
398,1999-09-22 10:02:00
399,1999-09-22 16:51:00
400,1999-09-22 19:28:00
401,1999-09-23 10:33:00
402,1999-09-23 11:39:00
403,1999-09-23 12:53:00
404,1999-09-23 13:35:00
405,1999-09-24 15:44:00
406,1999-09-24 15:48:00
407,1999-09-24 16:20:00
408,1999-09-27 10:00:00
409,1999-09-27 10:47:00
410,1999-09-27 11:04:00
411,1999-09-27 13:26:00
412,1999-09-27 15:27:00
413,1999-09-27 20:07:00
414,1999-09-28 10:05:00
415,1999-09-28 10:48:00
416,1999-09-28 11:54:00
417,1999-09-28 11:55:00
418,1999-09-28 14:30:00
419,1999-09-29 07:57:00
420,1999-09-29 08:24:00
421,1999-09-29 09:02:00
422,1999-09-29 09:25:00
423,1999-09-29 10:08:00
424,1999-09-29 12:27:00
425,1999-09-29 16:49:00
426,1999-09-29 17:50:00
427,1999-09-30 09:04:00
428,1999-09-30 15:15:00
429,1999-09-30 15:53:00
430,1999-09-30 16:05:00
431,1999-10-01 10:26:00
432,1999-10-01 10:43:00
433,1999-10-01 10:45:00
434,1999-10-01 18:04:00
435,1999-10-04 10:55:00
436,1999-10-04 13:38:00
437,1999-10-04 14:29:00
438,1999-10-04 14:53:00
439,1999-10-04 15:45:00
440,1999-10-04 16:16:00
441,1999-10-05 09:43:00
442,1999-10-05 09:45:00
443,1999-10-05 12:24:00
444,1999-10-06 08:56:00
445,1999-10-07 10:10:00
446,1999-10-07 15:00:00
447,1999-10-07 16:21:00
448,1999-10-07 18:12:00
449,1999-10-08 10:41:00
450,1999-10-08 13:14:00
451,1999-10-08 14:01:00
452,1999-10-08 16:28:00
453,1999-10-11 09:35:00
454,1999-10-11 09:36:00
455,1999-10-11 10:32:00
456,1999-10-11 10:42:00
457,1999-10-11 11:35:00
458,1999-10-11 13:11:00
459,1999-10-11 13:50:00
460,1999-10-11 15:22:00
461,1999-10-12 09:09:00
462,1999-10-12 09:18:00
463,1999-10-12 13:32:00
464,1999-10-12 14:09:00
465,1999-10-12 15:08:00
466,1999-10-12 15:23:00
467,1999-10-12 17:45:00
468,1999-10-13 14:25:00
469,1999-10-13 15:08:00
470,1999-10-13 15:55:00
471,1999-10-13 18:08:00
472,1999-10-13 18:31:00
473,1999-10-14 09:30:00
474,1999-10-14 13:16:00
475,1999-10-14 14:40:00
476,1999-10-14 14:47:00
477,1999-10-14 16:15:00
478,1999-10-15 11:54:00
479,1999-10-15 14:07:00
480,1999-10-15 14:08:00
481,1999-10-15 15:28:00
482,1999-10-15 15:30:00
483,1999-10-18 09:28:00
484,1999-10-18 09:53:00
485,1999-10-18 11:17:00
486,1999-10-18 13:06:00
487,1999-10-18 13:37:00
488,1999-10-18 18:23:00
489,1999-10-18 18:29:00
490,1999-10-18 19:42:00
491,1999-10-19 07:48:00
492,1999-10-19 09:56:00
493,1999-10-19 13:42:00
494,1999-10-19 16:55:00
495,1999-10-20 11:27:00
496,1999-10-20 12:45:00
497,1999-10-20 13:59:00
498,1999-10-20 15:15:00
499,1999-10-20 15:37:00
500,1999-10-21 08:56:00
501,1999-10-21 09:15:00
502,1999-10-21 10:15:00
503,1999-10-21 10:38:00
504,1999-10-21 11:04:00
505,1999-10-21 11:06:00
506,1999-10-21 13:25:00
507,1999-10-21 14:04:00
508,1999-10-21 14:36:00
509,1999-10-21 15:01:00
510,1999-10-21 15:21:00
511,1999-10-21 15:58:00
512,1999-10-21 16:41:00
513,1999-10-21 16:59:00
514,1999-10-21 17:11:00
515,1999-10-21 19:07:00
516,1999-10-22 09:41:00
517,1999-10-22 11:24:00
518,1999-10-22 13:20:00
519,1999-10-22 14:31:00
520,1999-10-22 16:59:00
521,1999-10-22 17:07:00
522,1999-10-22 17:11:00
523,1999-10-22 17:19:00
524,1999-10-23 11:25:00
525,1999-10-23 11:28:00
526,1999-10-23 15:30:00
527,1999-10-25 08:56:00
528,1999-10-25 11:34:00
529,1999-10-25 11:42:00
530,1999-10-25 11:55:00
531,1999-10-25 13:38:00
532,1999-10-25 13:42:00
533,1999-10-25 13:44:00
534,1999-10-25 13:53:00
535,1999-10-25 16:46:00
536,1999-10-26 09:45:00
537,1999-10-26 09:50:00
538,1999-10-26 09:52:00
539,1999-10-26 13:13:00
540,1999-10-26 16:56:00
541,1999-10-26 17:06:00
542,1999-10-26 17:13:00
543,1999-10-27 13:03:00
544,1999-10-27 13:14:00
545,1999-10-27 13:41:00
546,1999-10-27 14:30:00
547,1999-10-27 15:18:00
548,1999-10-28 09:06:00
549,1999-10-28 09:58:00
550,1999-10-28 10:08:00
551,1999-10-28 10:34:00
552,1999-11-01 08:56:00
553,1999-11-01 09:24:00
554,1999-11-01 15:18:00
555,1999-11-01 15:19:00
556,1999-11-01 15:21:00
557,1999-11-02 09:24:00
558,1999-11-02 10:24:00
559,1999-11-02 16:25:00
560,1999-11-02 16:47:00
561,1999-11-03 16:25:00
562,1999-11-03 18:39:00
563,1999-11-04 09:45:00
564,1999-11-04 10:25:00
565,1999-11-04 11:17:00
566,1999-11-04 11:23:00
567,1999-11-04 11:28:00
568,1999-11-04 13:54:00
569,1999-11-04 15:10:00
570,1999-11-04 17:26:00
571,1999-11-05 08:54:00
572,1999-11-05 09:17:00
573,1999-11-05 11:58:00
574,1999-11-05 13:14:00
575,1999-11-05 13:41:00
576,1999-11-05 14:34:00
577,1999-11-08 07:24:00
578,1999-11-08 09:07:00
579,1999-11-08 09:31:00
580,1999-11-08 09:59:00
581,1999-11-08 11:38:00
582,1999-11-08 13:05:00
583,1999-11-08 14:26:00
584,1999-11-09 10:24:00
585,1999-11-09 10:48:00
586,1999-11-09 11:15:00
587,1999-11-09 13:35:00
588,1999-11-10 16:23:00
589,1999-11-11 12:23:00
590,1999-11-12 11:11:00
591,1999-11-12 11:21:00
592,1999-11-12 16:09:00
593,1999-11-14 11:46:00
594,1999-11-15 08:52:00
595,1999-11-15 09:03:00
596,1999-11-15 12:32:00
597,1999-11-15 13:21:00
598,1999-11-16 12:21:00
599,1999-11-16 16:01:00
600,1999-11-17 15:29:00
601,1999-11-17 18:46:00
602,1999-11-18 09:40:00
603,1999-11-18 11:14:00
604,1999-11-18 17:07:00
605,1999-11-18 17:21:00
606,1999-11-19 14:14:00
607,1999-11-19 14:49:00
608,1999-11-19 14:58:00
609,1999-11-19 16:35:00
610,1999-11-19 16:45:00
611,1999-11-19 17:15:00
612,1999-11-19 17:28:00
613,1999-11-19 18:51:00
614,1999-11-22 06:34:00
615,1999-11-22 09:59:00
616,1999-11-22 10:31:00
617,1999-11-22 14:45:00
618,1999-11-22 15:08:00
619,1999-11-22 15:09:00
620,1999-11-22 16:40:00
621,1999-11-23 17:48:00
622,1999-11-24 11:46:00
623,1999-11-28 09:10:00
624,1999-11-28 09:12:00
625,1999-11-28 10:14:00
626,1999-11-28 10:15:00
627,1999-11-29 09:49:00
628,1999-11-29 09:56:00
629,1999-11-29 11:42:00
630,1999-11-29 12:11:00
631,1999-11-29 13:08:00
632,1999-11-29 13:20:00
633,1999-11-29 15:23:00
634,1999-11-29 15:51:00
635,1999-11-29 16:02:00
636,1999-11-29 18:00:00
637,1999-11-29 18:11:00
638,1999-11-30 11:40:00
639,1999-11-30 13:24:00
640,1999-11-30 17:18:00
641,1999-12-01 08:50:00
642,1999-12-02 15:18:00
643,1999-12-02 16:04:00
644,1999-12-02 17:35:00
645,1999-12-03 11:03:00
646,1999-12-03 11:21:00
647,1999-12-03 11:38:00
648,1999-12-03 11:44:00
649,1999-12-03 13:20:00
650,1999-12-03 13:23:00
651,1999-12-03 13:28:00
652,1999-12-05 13:45:00
653,1999-12-05 14:04:00
654,1999-12-06 19:37:00
655,1999-12-07 11:41:00
656,1999-12-07 13:09:00
657,1999-12-07 13:14:00
658,1999-12-07 14:40:00
659,1999-12-07 14:51:00
660,1999-12-07 16:17:00
661,1999-12-07 16:22:00
662,1999-12-07 17:06:00
663,1999-12-07 17:27:00
664,1999-12-07 18:12:00
665,1999-12-07 18:29:00
666,1999-12-07 18:42:00
667,1999-12-08 09:48:00
668,1999-12-08 12:00:00
669,1999-12-08 12:09:00
670,1999-12-08 14:51:00
671,1999-12-08 14:59:00
672,1999-12-09 08:47:00
673,1999-12-09 08:53:00
674,1999-12-09 12:53:00
675,1999-12-09 15:51:00
676,1999-12-09 15:58:00
677,1999-12-09 16:21:00
678,1999-12-09 17:06:00
679,1999-12-09 19:22:00
680,1999-12-10 13:05:00
681,1999-12-10 17:05:00
682,1999-12-10 17:06:00
683,1999-12-13 09:45:00
684,1999-12-13 10:15:00
685,1999-12-13 10:37:00
686,1999-12-13 13:31:00
687,1999-12-13 14:32:00
688,1999-12-13 16:00:00
689,1999-12-13 17:15:00
690,1999-12-13 17:33:00
691,1999-12-13 22:25:00
692,1999-12-14 08:52:00
693,1999-12-14 08:53:00
694,1999-12-14 08:55:00
695,1999-12-14 08:58:00
696,1999-12-14 09:03:00
697,1999-12-14 09:12:00
698,1999-12-14 12:53:00
699,1999-12-14 17:32:00
700,1999-12-15 09:33:00
701,1999-12-15 10:07:00
702,1999-12-15 10:26:00
703,1999-12-15 10:28:00
704,1999-12-15 10:29:00
705,1999-12-15 11:07:00
706,1999-12-15 11:47:00
707,1999-12-15 12:05:00
708,1999-12-15 13:29:00
709,1999-12-15 13:46:00
710,1999-12-15 13:49:00
711,1999-12-15 14:33:00
712,1999-12-15 15:08:00
713,1999-12-15 15:08:00
714,1999-12-15 17:04:00
715,1999-12-15 17:30:00
716,1999-12-15 18:33:00
717,1999-12-16 08:15:00
718,1999-12-16 08:24:00
719,1999-12-16 08:42:00
720,1999-12-16 09:19:00
721,1999-12-16 09:19:00
722,1999-12-16 09:56:00
723,1999-12-16 10:03:00
724,1999-12-16 10:50:00
725,1999-12-16 15:26:00
726,1999-12-16 15:37:00
727,1999-12-16 17:37:00
728,1999-12-16 17:50:00
729,1999-12-17 08:58:00
730,1999-12-17 09:06:00
731,1999-12-17 09:28:00
732,1999-12-17 16:55:00
733,1999-12-17 18:04:00
734,1999-12-17 18:05:00
735,1999-12-19 20:09:00
736,1999-12-19 21:37:00
737,1999-12-20 08:48:00
738,1999-12-20 10:18:00
739,1999-12-20 11:24:00
740,1999-12-20 12:00:00
741,1999-12-20 12:41:00
742,1999-12-20 12:42:00
743,1999-12-20 12:53:00
744,1999-12-20 16:21:00
745,1999-12-20 16:47:00
746,1999-12-20 17:17:00
747,1999-12-20 18:04:00
748,1999-12-21 09:07:00
749,1999-12-21 09:21:00
750,1999-12-21 09:26:00
751,1999-12-21 09:50:00
752,1999-12-21 10:31:00
753,1999-12-21 11:14:00
754,1999-12-21 14:30:00
755,1999-12-21 14:33:00
756,1999-12-21 15:16:00
757,1999-12-21 15:37:00
758,1999-12-21 16:59:00
759,1999-12-21 17:51:00
760,1999-12-21 18:18:00
761,1999-12-22 11:28:00
762,1999-12-22 13:19:00
763,1999-12-22 13:31:00
764,1999-12-22 15:24:00
765,1999-12-22 15:32:00
766,1999-12-22 15:35:00
767,1999-12-22 16:00:00
768,1999-12-22 17:21:00
769,1999-12-23 10:13:00
770,1999-12-23 14:46:00
771,1999-12-23 18:43:00
772,1999-12-23 21:36:00
773,1999-12-27 08:51:00
774,1999-12-27 09:27:00
775,1999-12-27 09:28:00
776,1999-12-27 10:51:00
777,1999-12-27 10:53:00
778,1999-12-27 11:17:00
779,1999-12-27 11:17:00
780,1999-12-27 11:17:00
781,1999-12-27 11:18:00
782,1999-12-27 11:19:00
783,1999-12-27 11:20:00
784,1999-12-27 11:20:00
785,1999-12-27 11:21:00
786,1999-12-27 11:21:00
787,1999-12-27 11:21:00
788,1999-12-27 11:21:00
789,1999-12-27 11:22:00
790,1999-12-27 11:23:00
791,1999-12-27 11:24:00
792,1999-12-27 11:38:00
793,1999-12-27 11:56:00
794,1999-12-27 13:01:00
795,1999-12-27 13:25:00
796,1999-12-27 13:51:00
797,1999-12-27 13:52:00
798,1999-12-27 13:54:00
799,1999-12-27 14:07:00
800,1999-12-27 14:16:00
801,1999-12-27 14:17:00
802,1999-12-27 14:23:00
803,1999-12-27 14:23:00
804,1999-12-27 14:58:00
805,1999-12-27 14:59:00
806,1999-12-27 14:59:00
807,1999-12-27 15:24:00
808,1999-12-27 15:59:00
809,1999-12-27 16:06:00
810,1999-12-27 21:27:00
811,1999-12-27 21:40:00
812,1999-12-28 07:10:00
813,1999-12-28 08:41:00
814,1999-12-28 08:50:00
815,1999-12-28 09:05:00
816,1999-12-28 09:25:00
817,1999-12-28 09:38:00
818,1999-12-28 09:45:00
819,1999-12-28 09:54:00
820,1999-12-28 09:59:00
821,1999-12-28 10:00:00
822,1999-12-28 10:15:00
823,1999-12-28 11:22:00
824,1999-12-28 11:36:00
825,1999-12-28 14:02:00
826,1999-12-28 17:06:00
827,1999-12-28 17:10:00
828,1999-12-29 09:33:00
829,1999-12-29 10:22:00
830,1999-12-29 10:23:00
831,1999-12-29 10:26:00
832,1999-12-29 11:47:00
833,1999-12-29 11:57:00
834,1999-12-29 11:59:00
835,1999-12-29 12:22:00
836,1999-12-29 14:52:00
837,1999-12-29 15:13:00
838,1999-12-29 16:14:00
839,1999-12-29 22:01:00
840,1999-12-30 08:12:00
841,1999-12-30 08:47:00
842,1999-12-30 09:11:00
843,1999-12-30 09:25:00
844,1999-12-30 10:23:00
845,1999-12-30 10:44:00
846,1999-12-30 11:39:00
847,1999-12-30 12:16:00
848,1999-12-30 13:27:00
849,1999-12-30 15:07:00
850,1999-12-30 15:19:00
851,1999-12-30 15:41:00
852,1999-12-30 15:42:00
853,1999-12-31 13:18:00
854,2000-01-03 08:20:00
855,2000-01-03 09:47:00
856,2000-01-04 07:15:00
857,2000-01-04 09:49:00
858,2000-01-04 10:18:00
859,2000-01-04 12:11:00
860,2000-01-04 12:29:00
861,2000-01-04 12:54:00
862,2000-01-04 13:58:00
863,2000-01-04 14:32:00
864,2000-01-04 15:21:00
865,2000-01-04 15:25:00
866,2000-01-04 15:27:00
867,2000-01-04 17:07:00
868,2000-01-04 17:20:00
869,2000-01-04 17:23:00
870,2000-01-04 18:15:00
871,2000-01-04 19:33:00
872,2000-01-05 07:33:00
873,2000-01-05 08:30:00
874,2000-01-05 09:05:00
875,2000-01-05 10:08:00
876,2000-01-05 10:53:00
877,2000-01-05 12:37:00
878,2000-01-05 13:16:00
879,2000-01-05 14:50:00
880,2000-01-05 15:18:00
881,2000-01-05 17:21:00
882,2000-01-05 18:10:00
883,2000-01-05 18:21:00
884,2000-01-06 08:56:00
885,2000-01-06 09:10:00
886,2000-01-06 09:37:00
887,2000-01-06 11:18:00
888,2000-01-06 12:52:00
889,2000-01-06 15:45:00
890,2000-01-06 16:19:00
891,2000-01-06 16:22:00
892,2000-01-06 16:37:00
893,2000-01-06 16:39:00
894,2000-01-06 17:29:00
895,2000-01-06 18:35:00
896,2000-01-07 08:55:00
897,2000-01-07 09:34:00
898,2000-01-07 09:51:00
899,2000-01-07 09:52:00
900,2000-01-07 10:16:00
901,2000-01-07 10:18:00
902,2000-01-07 10:27:00
903,2000-01-07 11:14:00
904,2000-01-07 11:30:00
905,2000-01-07 12:12:00
906,2000-01-07 12:14:00
907,2000-01-07 14:20:00
908,2000-01-07 15:18:00
909,2000-01-07 17:14:00
910,2000-01-07 17:34:00
911,2000-01-10 08:29:00
912,2000-01-10 10:36:00
913,2000-01-10 11:14:00
914,2000-01-10 12:56:00
915,2000-01-10 13:16:00
916,2000-01-10 13:40:00
917,2000-01-10 13:57:00
918,2000-01-10 14:39:00
919,2000-01-10 14:53:00
920,2000-01-10 15:45:00
921,2000-01-10 15:56:00
922,2000-01-10 16:00:00
923,2000-01-10 16:05:00
924,2000-01-10 17:47:00
925,2000-01-10 17:49:00
926,2000-01-10 17:55:00
927,2000-01-10 19:36:00
928,2000-01-11 07:53:00
929,2000-01-11 08:01:00
930,2000-01-11 08:49:00
931,2000-01-11 10:02:00
